split_type,epoch,train_mse,val_mse
scaffold,1,16.65942605686188,1.831783751487732
scaffold,2,1.9140750665664672,1.5703676242828368
scaffold,3,1.7370577220916747,1.5173234748840332
scaffold,4,1.679351851463318,1.4726247682571412
scaffold,5,1.6007625250816344,1.5693040428161622
scaffold,6,1.55984224319458,1.4465333042144775
scaffold,7,1.5155020980834961,1.3979179811477662
scaffold,8,1.51207932138443,1.380837516784668
scaffold,9,1.5037685742378235,1.364943223953247
scaffold,10,1.4498208923339844,1.3899118032455444
scaffold,11,1.4466706418991089,1.3594883489608764
scaffold,12,1.4365433831214904,1.4697788877487183
scaffold,13,1.4158630628585815,1.3398215789794923
scaffold,14,1.413622799396515,1.438008056640625
scaffold,15,1.4270029973983764,1.3231551160812378
scaffold,16,1.4195549874305724,1.3188243007659912
scaffold,17,1.408558693408966,1.434916693687439
scaffold,18,1.3834593029022217,1.324570873260498
scaffold,19,1.3859915542602539,1.3924283351898192
scaffold,20,1.3372863211631776,1.3229372158050536
scaffold,21,1.3543592076301574,1.3459734811782837
scaffold,22,1.3645954928398132,1.36206125831604
scaffold,23,1.3604716048240661,1.4379467115402222
scaffold,24,1.3494475202560425,1.368534656524658
scaffold,25,1.341627872467041,1.3770899772644043
scaffold,26,1.337474557876587,1.4103417072296143
scaffold,27,1.3272226548194885,1.3508324670791625
scaffold,28,1.3485676164627076,1.3261582670211791
scaffold,29,1.347937246799469,1.355177716255188
scaffold,30,1.3103322410583496,1.3488036670684815
scaffold,31,1.3043602538108825,1.7356744289398194
scaffold,32,1.334965754032135,1.3299065732955933
scaffold,33,1.2885358114242553,1.3441842975616456
scaffold,34,1.283840009212494,1.3247850427627563
scaffold,35,1.3144259305000305,1.4232320499420166
scaffold,36,1.309235369682312,1.3428838844299316
scaffold,37,1.2948428649902344,1.6462291088104248
scaffold,38,1.3226616501808166,1.3034249181747437
scaffold,39,1.2822378807067871,1.3050992908477783
scaffold,40,1.3042995977401732,1.3130420551300048
scaffold,41,1.2810014781951904,1.6361436681747437
scaffold,42,1.2868815364837647,1.350601632118225
scaffold,43,1.303756784439087,1.3561082019805908
scaffold,44,1.296500373840332,1.5029115161895752
scaffold,45,1.2882631525993347,1.3403265361785888
scaffold,46,1.2485018711090088,1.3485029287338257
scaffold,47,1.2696767740249635,1.320636212348938
scaffold,48,1.2427809100151062,1.4414421644210815
scaffold,49,1.2533533873558045,1.284907995223999
scaffold,50,1.2638004646301269,1.3233596363067628
scaffold,51,1.2594946823120117,1.4002812480926514
scaffold,52,1.2572785410881042,1.277624526977539
scaffold,53,1.240890375137329,1.287621145248413
scaffold,54,1.25212006855011,1.3196010351181031
scaffold,55,1.2360035820007325,1.2810163612365724
scaffold,56,1.2731442160606383,1.2741310987472534
scaffold,57,1.2189857630729675,1.27884232711792
scaffold,58,1.2184100623130798,1.2680532903671264
scaffold,59,1.210796037197113,1.2967584667205811
scaffold,60,1.2238860535621643,1.264702883720398
